#{"t_start": 1626664554.518051, "env_id": "RockWalk-v0"}
r,l,t
88.36689,39,701.015073
556.808192,156,702.5424
101.890428,40,703.234905
368.266025,108,704.872438
53.120797,28,704.986384
84.975146,36,706.30429
213.389405,71,707.519562
217.174072,70,708.385214
113.572354,43,709.375691
53.960149,28,709.482257
77.870875,35,710.289574
77.205969,34,710.399336
140.81153,51,711.511464
122.067661,47,712.755275
237.256762,75,713.765837
313.262031,99,714.752502
34.499713,23,715.573241
108.093836,42,715.698316
30.286484,22,716.416723
232.745246,74,717.461539
105.310811,41,717.609661
225.447532,75,719.292069
77.851657,34,719.406335
165.957542,56,720.32831
238.976945,75,721.372105
57.463484,29,722.306909
104.357424,41,722.515027
64.256784,31,723.507595
110.969423,43,723.7632
256.582869,66,726.530345
534.29285,135,729.048465
276.738525,87,730.907395
127.342009,47,732.178925
46.85852,26,732.383499
178.231384,61,733.76931
202.587103,66,734.988479
165.814711,56,736.160721
91.932367,38,736.926928
